Nama Wilayah,,,,,,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,,,,,,
Nganjuk,341653,358216,388186,408160,428882,446232,474429,513565
Madiun,294451,306769,327536,344994,364638,380287,405127,437296
Magetan,288246,297874,319909,336989,354936,371182,396696,431203
Ngawi,264706,277539,301158,325235,342556,358663,382301,413947
Bojonegoro,295250,309564,330544,347786,362383,380653,403403,435936
Tuban,294543,308822,328268,348503,371465,388176,421287,454336
Lamongan,321002,335783,360444,380220,397980,419309,446601,481969
Gresik,393447,414261,438704,466154,492628,505499,536544,588316
Bangkalan,334338,349073,369455,389170,418908,432046,458754,503207
Sampang,296268,307606,325825,346075,374908,391032,411661,454716
Pamekasan,292631,302431,317144,332775,357074,368259,392345,431127
Sumenep,301781,313330,340033,357473,382491,400960,427882,471860
Kota Kediri,400096,420712,453807,471893,493438,506936,537326,587723
Kota Blitar,356147,383021,425832,456778,465868,481229,517363,568280
Kota Malang,426527,454061,507114,543966,554791,570238,609612,674660
Kota Probolinggo,418480,437392,479267,501505,524528,545955,575195,628380
Kota Pasuruan,362224,378593,415171,434435,441531,461624,486893,529512
Kota Mojokerto,364021,391489,437231,467997,482016,493452,531804,581006
Kota Madiun,376956,404959,446525,478304,497628,514409,551620,605131
Kota Surabaya,438283,474365,530178,567474,592137,611466,652540,718370
Kota Batu,398401,424354,467073,501016,509886,522819,564010,613985
BANTEN,367949,386753,431069,462726,508091,530363,570368,618721
Pandeglang,267752,285822,310859,326517,361713,390754,416248,455297
Lebak,246389,261880,283901,298201,334509,358479,380681,419066
Tangerang,405902,423486,451325,476636,520742,545065,576122,604362
Serang,256660,269652,294829,309036,341074,362102,385864,425751
Kota Tangerang,496349,508551,556782,584318,632835,655061,695225,746468
Kota Cilegon,347949,373147,428867,459469,504571,540032,572780,632703
Kota Serang,281926,296819,350237,379641,411595,431210,460613,511575
Kota Tangerang Selatan,472968,494784,549150,593781,643083,665610,712717,782543
BALI,338967,361387,382598,400624,429834,452221,485022,529643
Jembrana,354901,374057,385959,390102,403462,434839,458214,496435
Tabanan,392479,412561,422345,425926,450571,488750,522520,562801
Badung,470732,500885,534069,547186,587737,613993,633769,688018
Gianyar,339414,358496,378561,382380,400079,407945,434163,468307
Klungkung,284789,299664,310764,312864,318139,342043,359415,384983
Bangli,305200,321674,327668,329014,346458,370732,401650,436928
Karang Asem,288436,301720,311321,315805,330441,354123,376229,404083
Buleleng,350902,372399,395678,401377,424602,461018,496390,537262
Kota Denpasar,483821,512947,545357,571246,618064,662499,712815,778203
NUSA TENGGARA BARAT,333996,345341,365901,384880,404941,423505,459826,498996
Lombok Barat,375684,390979,412487,431862,439595,466495,503509,546421
Lombok Tengah,357337,369645,386676,404633,421439,447200,480657,520852
Lombok Timur,382861,396668,414721,430727,447263,472304,503525,546404
